OPERATIVAS[Nombre Documento],OPERATIVAS[Grupo SOAP],OPERATIVAS[Equipo SOAP],OPERATIVAS[Tipo Documento SOAP],OPERATIVAS[Equipo Mesa Ágil SOAP],OPERATIVAS[Ruta archivo]
INS.IN-0080 Postpago - Cuotas que no han viajado de OAC a FEES.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0080 Postpago - Cuotas que no han viajado de OAC a FEES.docx
INS.IN-0081 Postpago - Cuotas sin Recibo asociado GLOBAL_ATTRIBUTE13.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0081 Postpago - Cuotas sin Recibo asociado GLOBAL_ATTRIBUTE13.docx
INS.IN-0082 Postpago - Documentos CVE no incluidos en el ciclo.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0082 Postpago - Documentos CVE no incluidos en el ciclo.docx
INS.IN-0083 Postpago - Ajustes de Financiamientos incorrectos.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0083 Postpago - Ajustes de Financiamientos incorrectos.docx
INS.IN-0084 Postpago - CONCILIACION saldo recibo anterior.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0084 Postpago - CONCILIACION saldo recibo anterior.docx
INS.IN-0085 Postpago - Control clientes suspendidos que no facturan.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0085 Postpago - Control clientes suspendidos que no facturan.docx
INS.IN-0086 Postpago - Registrar serie en BSCS07.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0086 Postpago - Registrar serie en BSCS07.docx
INS.IN-0087 Postpago - Lineas con contrato en BSCS70 sin request de activación.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0087 Postpago - Lineas con contrato en BSCS70 sin request de activación.docx
INS.IN-0088 Postpago - Desalineación de estados de cuotas entre BSCS vs OAC Post facturación.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0088 Postpago - Desalineación de estados de cuotas entre BSCS vs OAC Post facturación.docx
INS.IN-0089 Postpago - LOTE DEL CICLO NO GENERADO CORRECTAMENTE.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0089 Postpago - LOTE DEL CICLO NO GENERADO CORRECTAMENTE.docx
INS.IN-0090 Postpago - Reproceso de archivos Claro Club-.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0090 Postpago - Reproceso de archivos Claro Club-.docx
INS.IN-0091 Postpago - LINEA DESACTIVA LUEGO DE MIGRACION DE POST A PRE.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0091 Postpago - LINEA DESACTIVA LUEGO DE MIGRACION DE POST A PRE.docx
INS.IN-0092 Postpago - Anulacion Renta Adelantada.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0092 Postpago - Anulacion Renta Adelantada.docx
INS.IN-0093 Postpago - CAMBIO DE TIPO DE CLIENTE TOBE A ASIS.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0093 Postpago - CAMBIO DE TIPO DE CLIENTE TOBE A ASIS.docx
INS.IN-0094 Postpago - RLH Caido por FUP Account duplicados.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0094 Postpago - RLH Caido por FUP Account duplicados.docx
INS.IN-0095 Postpago - FALLA EN ALINEACIÓN DE SX - ESTADO 4.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0095 Postpago - FALLA EN ALINEACIÓN DE SX - ESTADO 4.docx
"INS.IN-0096 Postpago - ERROR AL CONSULTAR CLIENTES EN SIOP, SE QUEDA CARGANDO .docx",BOSS,Provisión y Mediación,Otros,,"https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0096 Postpago - ERROR AL CONSULTAR CLIENTES EN SIOP, SE QUEDA CARGANDO .docx"
INS.IN-0097 Postpago - Cuentas sin Reconexión de terminales.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0097 Postpago - Cuentas sin Reconexión de terminales.docx
INS.IN-0098 Postpago - RLH CAIDO.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0098 Postpago - RLH CAIDO.docx
INS.IN-0099 Postpago - DOC - [BSCS70] FALLA EN ACTIVACIÓN DE DESCUENTO.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0099 Postpago - DOC - [BSCS70] FALLA EN ACTIVACIÓN DE DESCUENTO.docx
INS.IN-0100 Postpago - CAMBIO DE SIM.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0100 Postpago - CAMBIO DE SIM.docx
INS.IN-0101 Postpago - ALTA BUSINES POR CAMBIO TIPO CLIENTE.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0101 Postpago - ALTA BUSINES POR CAMBIO TIPO CLIENTE.docx
INS.IN-0102 Postpago - PRIH CAIDO.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0102 Postpago - PRIH CAIDO.docx
INS.IN-0103 Postpago - ANULACION DE PAGO SIOP.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0103 Postpago - ANULACION DE PAGO SIOP.docx
INS.IN-0104 Postpago - CREACION DE DOCUMENTOS EN OAC.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/01. Postpago/INS.IN-0104 Postpago - CREACION DE DOCUMENTOS EN OAC.docx
INS.IN-0001 Prepago - Bajas en la IN por Migración de Prepago a Postpago.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0001 Prepago - Bajas en la IN por Migración de Prepago a Postpago.docx
INS.IN-0005 Prepago - ALTA DE SERIES.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0005 Prepago - ALTA DE SERIES.docx
INS.IN-0014 Prepago - CONSULTA DE LÍNEA EN LA IN PREPAGO.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0014 Prepago - CONSULTA DE LÍNEA EN LA IN PREPAGO.docx
INS.IN-0015 Prepago - DEPURACIÓN PDV.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0015 Prepago - DEPURACIÓN PDV.docx
INS.IN-0023 Prepago - PROVISIONAR CON NUEVO NUMERO.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0023 Prepago - PROVISIONAR CON NUEVO NUMERO.docx
INS.IN-0024 Prepago - REGULARIZACIÓN DTH.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0024 Prepago - REGULARIZACIÓN DTH.docx
INS.IN-0028 Prepago - MIGRACIÓN DE PDVs.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0028 Prepago - MIGRACIÓN DE PDVs.docx
INS.IN-0049 Prepago - LINEAS PORTABILIDAD EN ESTADO PREACTIVO.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0049 Prepago - LINEAS PORTABILIDAD EN ESTADO PREACTIVO.docx
INS.IN-0050 Prepago - BONO OSIPTEL POR SOLICITUD.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0050 Prepago - BONO OSIPTEL POR SOLICITUD.docx
INS.IN-0052 Prepago - ALINEACIONES DE CRL.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0052 Prepago - ALINEACIONES DE CRL.docx
INS.IN-0053 Prepago - DesProvisionamiento Cadenas.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0053 Prepago - DesProvisionamiento Cadenas.docx
INS.IN-0054 Prepago - Migracion Post a Pre.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0054 Prepago - Migracion Post a Pre.docx
INS.IN-0056 Prepago - Depuración de Tablas PROMDB.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0056 Prepago - Depuración de Tablas PROMDB.docx
INS.IN-0057 Prepago - Churn Mensual.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0057 Prepago - Churn Mensual/INS.IN-0057 Prepago - Churn Mensual.docx
INS.IN-0057 Prepago - Churn Mensual_20231109.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0057 Prepago - Churn Mensual/INS.IN-0057 Prepago - Churn Mensual_20231109.docx
INS.IN-0058 Prepago - Bono por recarga (OLD).docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0058 Prepago - Bono por recarga/INS.IN-0058 Prepago - Bono por recarga (OLD).docx
INS.IN-0058 Prepago - Bono por recarga.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0058 Prepago - Bono por recarga/INS.IN-0058 Prepago - Bono por recarga.docx
NP_Duplica tus Megas_Nacional_290622.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0058 Prepago - Bono por recarga/NP_Duplica tus Megas_Nacional_290622.docx
INS.IN-0059 Prepago - Líneas que no se activaron en la IN.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0059 Prepago - Líneas que no se activaron en la IN.docx
INS.IN-0060 Prepago - No recibe Saldo Recarga PrePOST.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0060 Prepago - No recibe Saldo Recarga PrePOST.docx
INS.IN-0061 Prepago - Lineas Prepago sin Bono Yape.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0061 Prepago - Lineas Prepago sin Bono Yape/INS.IN-0061 Prepago - Lineas Prepago sin Bono Yape.docx
NP_Yape_prepago 18032022.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0061 Prepago - Lineas Prepago sin Bono Yape/NP_Yape_prepago 18032022.docx
INS.IN-0062 Prepago - Altas Actívalo Tú Mismo Sin Bono Especial 2GB - Prepago.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0062 Prepago - Altas Actívalo Tú Mismo Sin Bono Especial 2GB - Prepago/INS.IN-0062 Prepago - Altas Actívalo Tú Mismo Sin Bono Especial 2GB - Prepago.docx
NP 21 _017 _Bono de Activalo tu Mismo_141221.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0062 Prepago - Altas Actívalo Tú Mismo Sin Bono Especial 2GB - Prepago/NP 21 _017 _Bono de Activalo tu Mismo_141221.docx
INS.IN-0063 Prepago - Altas Línea Nueva canal App Ventas sin Bono Inicial.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0063 Prepago - Altas Línea Nueva canal App Ventas sin Bono Inicial/INS.IN-0063 Prepago - Altas Línea Nueva canal App Ventas sin Bono Inicial.docx
NP_Plan prepago_080322.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0063 Prepago - Altas Línea Nueva canal App Ventas sin Bono Inicial/NP_Plan prepago_080322.docx
INS.IN-0064 Prepago - Lineas Nuevas Prepago sin Bono Inicial.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0064 Prepago - Lineas Nuevas Prepago sin Bono Inicial/INS.IN-0064 Prepago - Lineas Nuevas Prepago sin Bono Inicial.docx
NP_Plan prepago_080322.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0064 Prepago - Lineas Nuevas Prepago sin Bono Inicial/NP_Plan prepago_080322.docx
INS.IN-0065 Prepago - Lineas prepago sin bono - Dias Claro Fans.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0065 Prepago - Lineas prepago sin bono - Dias Claro Fans/INS.IN-0065 Prepago - Lineas prepago sin bono - Dias Claro Fans.docx
NP 20 - 064 - Días Claro Fans - Febrero 2022.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0065 Prepago - Lineas prepago sin bono - Dias Claro Fans/NP 20 - 064 - Días Claro Fans - Febrero 2022.docx
INS.IN-0046 Prepago - ACTUALIZAR DATOS TFI DE LA PERSONA.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0066 Prepago - Lineas TFI/INS.IN-0046 Prepago - ACTUALIZAR DATOS TFI DE LA PERSONA.docx
INS.IN-0068 Prepago - TFI NO SE ACTIVO BONO MENSUAL POR RECARGA.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0066 Prepago - Lineas TFI/INS.IN-0068 Prepago - TFI NO SE ACTIVO BONO MENSUAL POR RECARGA.docx
INS.IN-0066 Prepago - Portabilidad sin entrega de bonos PORT IN.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0066 Prepago - Portabilidad sin entrega de bonos PORT IN.docx
INS.IN-0067 Prepago - Reporte Comerciales (DMO).docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0067 Prepago - Reporte Comerciales (DMO).docx
"INS.IN-0069 Prepago - SERVICIO LLAMADA X COBRAR, NO SE COBRO IN.docx",BOSS,Provisión y Mediación,Otros,,"https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0069 Prepago - SERVICIO LLAMADA X COBRAR, NO SE COBRO IN.docx"
INS.IN-0070 Prepago - PAQUETE CHEVERE y TRIPLICA WOW.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0070 Prepago - PAQUETE CHEVERE y TRIPLICA WOW.docx
INS.IN-0071 Prepago - NO SE ENTREGÓ BONO RECURRENTE PORTABILIDAD.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0071 Prepago - NO SE ENTREGÓ BONO RECURRENTE PORTABILIDAD.docx
INS.IN-0072 Prepago - Cambio de categoría CRL.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0072 Prepago - Cambio de categoría CRL.docx
INS.IN-0073 Prepago - Error en ventas SixPel DB.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0073 Prepago - Error en ventas SixPel DB.docx
INS.IN-0074 Prepago - Manual OLO.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0074 Prepago - Manual OLO.docx
INS.IN-0075 Prepago - Devoluciones osiptel.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0075 Prepago - Devoluciones osiptel.docx
INS.IN-0076 Prepago - Disco usado alertado.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0076 Prepago - Disco usado alertado.docx
INS.IN-0077 Prepago - Llamadas sin saldo LLAMADAMISIA.docx,BOSS,Provisión y Mediación,Otros,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/07. Otros/Instructivos/02. Prepago/INS.IN-0077 Prepago - Llamadas sin saldo LLAMADAMISIA.docx
